#Incident Continuum, Enr	nFn 
1.00351e-08	1.312e-12
1.00853e-08	1.331e-12
1.01359e-08	1.352e-12
1.01867e-08	1.372e-12
1.02377e-08	1.393e-12
1.02891e-08	1.414e-12
1.03406e-08	1.435e-12
1.03924e-08	1.457e-12
1.04445e-08	1.479e-12
1.04969e-08	1.501e-12
1.05495e-08	1.524e-12
1.06024e-08	1.547e-12
1.06555e-08	1.570e-12
1.07089e-08	1.594e-12
1.07626e-08	1.618e-12
1.08165e-08	1.642e-12
1.08707e-08	1.667e-12
1.09252e-08	1.692e-12
1.09800e-08	1.718e-12
1.10350e-08	1.744e-12
1.10903e-08	1.770e-12
1.11459e-08	1.797e-12
1.12017e-08	1.824e-12
1.12579e-08	1.852e-12
1.13143e-08	1.880e-12
1.13710e-08	1.908e-12
1.14280e-08	1.937e-12
1.14853e-08	1.966e-12
1.15428e-08	1.996e-12
1.16007e-08	2.026e-12
1.16588e-08	2.057e-12
1.17173e-08	2.088e-12
1.17760e-08	2.119e-12
1.18350e-08	2.151e-12
1.18943e-08	2.184e-12
1.19539e-08	2.217e-12
1.20138e-08	2.251e-12
1.20741e-08	2.285e-12
1.21346e-08	2.319e-12
1.21954e-08	2.354e-12
1.22565e-08	2.390e-12
1.23179e-08	2.426e-12
1.23797e-08	2.462e-12
1.24417e-08	2.500e-12
1.25041e-08	2.537e-12
1.25667e-08	2.576e-12
1.26297e-08	2.615e-12
1.26930e-08	2.654e-12
1.27566e-08	2.694e-12
1.28206e-08	2.735e-12
1.28848e-08	2.776e-12
1.29494e-08	2.818e-12
1.30143e-08	2.861e-12
1.30795e-08	2.904e-12
1.31451e-08	2.948e-12
1.32110e-08	2.992e-12
1.32772e-08	3.038e-12
1.33437e-08	3.084e-12
1.34106e-08	3.130e-12
1.34778e-08	3.178e-12
1.35453e-08	3.226e-12
1.36132e-08	3.274e-12
1.36815e-08	3.324e-12
1.37500e-08	3.374e-12
1.38189e-08	3.425e-12
1.38882e-08	3.477e-12
1.39578e-08	3.529e-12
1.40278e-08	3.583e-12
1.40981e-08	3.637e-12
1.41687e-08	3.692e-12
1.42397e-08	3.747e-12
1.43111e-08	3.804e-12
1.43828e-08	3.862e-12
1.44549e-08	3.920e-12
1.45274e-08	3.979e-12
1.46002e-08	4.039e-12
1.46733e-08	4.100e-12
1.47469e-08	4.162e-12
1.48208e-08	4.225e-12
1.48951e-08	4.289e-12
1.49697e-08	4.354e-12
1.50447e-08	4.420e-12
1.51201e-08	4.486e-12
1.51959e-08	4.554e-12
1.52721e-08	4.623e-12
1.53486e-08	4.693e-12
1.54256e-08	4.764e-12
1.55029e-08	4.836e-12
1.55806e-08	4.909e-12
1.56586e-08	4.983e-12
1.57371e-08	5.058e-12
1.58160e-08	5.135e-12
1.58953e-08	5.212e-12
1.59749e-08	5.291e-12
